Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
37782001	2023-04-06	China		China	Host a visit	043	2.8	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	57129559	3	Unknown				China	39.9075	116.397
37782000	2023-04-06	Head of Government (France)	Executive,Executive Office,Government	France	Make a visit	042	1.9	China		China	57129559	4	Unknown				China	39.9075	116.397
37782002	2023-04-06	China		China	Host a visit	043	2.8	Head of Government (France)	Executive,Executive Office,Government	France	57129559	4	Unknown				China	39.9075	116.397
37782129	2023-04-06	Police (Ukraine)	Government,Police	Ukraine	Arrest, detain, or charge with legal action	173	-5	Priest (Ukraine)	National Religious,Social	Ukraine	57129563	1	Unknown	Dnieper			Ukraine	46.4975	32.3086
37782533	2023-04-06	United Kingdom		United Kingdom	Provide military aid	072	8.3	Armed Forces of Ukraine	Government,Military	Ukraine	57129566	1	Unknown			Britain	United Kingdom	53.5938	-1.86823
37782532	2023-04-06	United Kingdom		United Kingdom	Praise or endorse	051	3.4	Ukraine		Ukraine	57129566	5	Unknown			Britain	United Kingdom	53.5938	-1.86823
37781745	2023-04-06	Nikos Panagiotopoulos	Defense / Security Ministry,Executive,Government	Greece	Make statement	010	0	Greece		Greece	57129567	4	Unknown				Greece	37.9795	23.7162
37781870	2023-04-06	Security Service of Ukraine	Government,National / Border Divisions,Police	Ukraine	Arrest, detain, or charge with legal action	173	-5	Citizen (Ukraine)	General Population / Civilian / Social,Social	Ukraine	57129568	3	Unknown	Kharkiv		Kharkivs'ka Oblast'	Ukraine	49.9808	36.2527
37781938	2023-04-06	Josep Borrell	(National) Major Party,Center Left,Elite,Ideological,Parties	Spain	Express intent to meet or negotiate	036	4	China		China	57129569	1	Unknown				China	39.9075	116.397
37781939	2023-04-06	Josep Borrell	(National) Major Party,Center Left,Elite,Ideological,Parties	Spain	Express intent to meet or negotiate	036	4	China		China	57129569	3	Unknown				China	39.9075	116.397
37781936	2023-04-06	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	Make an appeal or request	020	3	China		China	57129569	5	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37781937	2023-04-06	Ursula von der Leyen	(National) Major Party,Cabinet,Center Right,Christian,Elite,Executive,Government,Ideological,International Religious,Parties	Germany	Make an appeal or request	020	3	China		China	57129569	5	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37781940	2023-04-06	Pedro Sanchez	(National) Major Party,Center Left,Ideological,Medical / Health,Parties,Social	Spain	Make a visit	042	1.9	China		China	57129569	6	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37781941	2023-04-06	China		China	Host a visit	043	2.8	Pedro Sanchez	(National) Major Party,Center Left,Ideological,Medical / Health,Parties,Social	Spain	57129569	6	Unknown	Beijing		Beijing Shi	China	39.9075	116.397
37781942	2023-04-06	Military (Ukraine)	Government,Military	Ukraine	Use conventional military force	190	-10	Russia		Russian Federation	57129571	1	Unknown	Donetsk		Donets'ka Oblast'	Ukraine	48.023	37.8022
37781943	2023-04-06	Military (Ukraine)	Government,Military	Ukraine	Use conventional military force	190	-10	Ukraine		Ukraine	57129571	1	Unknown	Donetsk		Donets'ka Oblast'	Ukraine	48.023	37.8022
37781867	2023-04-06	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	Make a visit	042	1.9	China		China	57129576	1	Unknown				China	39.9075	116.397
37781869	2023-04-06	China		China	Host a visit	043	2.8	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	57129576	1	Unknown				China	39.9075	116.397
